"Inventory distribution of publicly owned potable water assets by physical condition rating, Infrastructure Canada 1 2"
"Frequency: Occasional"
"Table: 34-10-0196-01"
"Release date: 2020-11-23"
"Geography: Canada, Province or territory"
""
""

,,"2016",,,,,,"2018",,,,,
"Geography","Potable water assets","Very poor 3","Poor 4","Fair 5","Good 6","Very good 7","Physical condition unknown","Very poor 3","Poor 4","Fair 5","Good 6","Very good 7","Physical condition unknown"
"Canada",,"Percentage",,,,,,,,,,,
5,"Fair: as of 2018, defined as significant deterioration is evident; minor components or isolated sections of the asset need replacement or repair now but asset is still serviceable and functions safely at adequate level of service. The operating asset has at least 40% of its expected service life remaining."
6,"Good: as of 2018, defined as acceptable physical condition; minimal short-term failure risk but potential for deterioration in the long term. Only Minor work required. The operating asset has at least 80% of its expected service life remaining."
7,"Very good: as of 2018, defined as having a sound physical condition. Asset likely to perform adequately. The operating asset has at least 95% of its expected service life remaining."
8,"Reservoir: A pond, lake, or basin (natural or artificial) that stores, regulates, or controls water. Includes the number of reservoirs and water towers within the distribution, transmission, or integrated system."
9,"Pump stations include pump stations within the non-linear potable water system."
10,"Local water pipes include all connecting pipes, of diameter less than 416 mm, between pump stations, rechlorination facilities and storage facilities if these are located within the distribution system."
11,"Transmission pipes include all connecting pipes, of diameter greater than or equal to 416mm, between pump stations, rechlorination facilities and storage facilities when located between the source and the treatment plant or between the treatment plant and the distribution system."



"How to cite: Statistics Canada. Table 34-10-0196-01  Inventory distribution of publicly owned potable water assets by physical condition rating, Infrastructure Canada"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410019601
