Occupational category,Occupation type,Number,Total workers with a disability,Ambulatory difficulty Percent,Hearing difficulty Percent,Cognitive difficulty Percent,Vision difficulty Percent,Independent living difficulty Percent,Self-care difficulty Percent
Transportation security screeners,Detailed,-,-,-,-,-,-,-,-
"Lifeguards and other recreational, and all other protective service workers",Detailed,"6,390","6,390",20.3,18.8,45.0,18.8,10.2,3.8
Chefs and head cooks,Detailed,"19,895","19,895",36.7,24.5,22.1,23.0,12.1,8.9
First-line supervisors of food preparation and serving workers,Detailed,"34,760","34,760",36.9,18.8,36.5,20.3,16.8,5.7
Cooks,Detailed,"154,325","154,325",33.1,19.7,40.5,23.9,19.3,6.3
Food preparation workers,Detailed,"69,415","69,415",23.7,18.3,49.4,20.2,23.2,4.7
Bartenders,Detailed,"20,895","20,895",23.8,17.5,43.4,26.8,21.3,5.3
"Combined food preparation and serving workers, including fast food",Detailed,"33,475","33,475",28.8,21.0,44.0,23.2,23.5,5.2
"Counter attendants, cafeteria, food concession, and coffee shop",Detailed,"9,375","9,375",26.9,13.5,54.5,20.0,21.4,9.5
Waiters and waitresses,Detailed,"98,170","98,170",20.9,18.6,49.9,23.8,19.3,6.7
"Food servers, nonrestaurant",Detailed,"15,060","15,060",27.9,27.4,41.1,18.9,18.6,4.2
Dining room and cafeteria attendants and bartender helpers,Detailed,"28,635","28,635",20.3,15.8,58.7,19.4,39.6,9.0
Dishwashers,Detailed,"50,385","50,385",17.9,15.5,61.6,19.9,36.5,7.0
"Hosts and hostesses, restaurant, lounge, and coffee shop",Detailed,"17,380","17,380",24.5,21.5,45.4,17.3,21.8,6.8
"Food preparation and serving related workers, all other",Detailed,-,-,-,-,-,-,-,-
First-line supervisors of housekeeping and janitorial workers,Detailed,"15,945","15,945",41.9,32.5,21.8,24.3,14.7,7.8
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",Detailed,"9,300","9,300",34.8,39.2,20.6,23.0,13.5,4.4
Janitors and building cleaners,Detailed,"301,550","301,550",32.4,28.4,42.5,21.4,25.5,9.0
Maids and housekeeping cleaners,Detailed,"125,225","125,225",39.1,22.7,31.9,23.9,19.3,7.8
Pest control workers,Detailed,-,-,-,-,-,-,-,-
Grounds maintenance workers,Detailed,"90,075","90,075",26.3,35.0,37.4,22.9,14.6,6.5
First-line supervisors of gaming workers,Detailed,-,-,-,-,-,-,-,-
First-line supervisors of personal service workers,Detailed,-,-,-,-,-,-,-,-
Animal trainers,Detailed,-,-,-,-,-,-,-,-
Nonfarm animal caretakers,Detailed,"19,990","19,990",29.7,21.9,45.1,15.6,21.2,8.0
Gaming services workers,Detailed,-,-,-,-,-,-,-,-
Motion picture projectionists,Detailed,-,-,-,-,-,-,-,-
"Ushers, lobby attendants, and ticket takers",Detailed,-,-,-,-,-,-,-,-
Miscellaneous entertainment attendants and related workers,Detailed,"18,790","18,790",26.4,37.7,42.7,12.4,21.0,3.2
Embalmers and funeral attendants,Detailed,-,-,-,-,-,-,-,-
"Morticians, undertakers, and funeral directors",Detailed,-,-,-,-,-,-,-,-
Barbers,Detailed,"8,620","8,620",58.6,31.3,21.1,8.4,9.8,2.1
"Hairdressers, hairstylists, and cosmetologists",Detailed,"44,320","44,320",31.9,25.8,32.1,22.5,16.4,5.7
Miscellaneous personal appearance workers,Detailed,"12,490","12,490",30.8,18.2,36.4,24.6,13.6,1.4
"Baggage porters, bellhops, and concierges",Detailed,-,-,-,-,-,-,-,-
Tour and travel guides,Detailed,-,-,-,-,-,-,-,-
Childcare workers,Detailed,"93,640","93,640",43.2,21.4,33.4,20.5,24.3,10.8
Personal care aides,Detailed,"149,790","149,790",44.2,23.5,31.8,22.9,17.7,9.0
Recreation and fitness workers,Detailed,"23,565","23,565",32.0,24.2,39.4,23.0,19.9,10.2
Residential advisors,Detailed,"5,110","5,110",18.9,21.5,45.8,19.1,17.3,4.2
"Personal care and service workers, all other",Detailed,"16,175","16,175",37.4,28.9,39.4,14.6,19.3,7.2
First-line supervisors of retail sales workers,Detailed,"161,665","161,665",34.7,31.2,26.0,22.7,13.9,6.7
First-line supervisors of non-retail sales workers,Detailed,"57,305","57,305",35.6,36.4,17.1,26.4,9.5,6.1
Cashiers,Detailed,"234,225","234,225",33.0,19.5,40.9,24.6,17.3,7.2
Counter and rental clerks,Detailed,-,-,-,-,-,-,-,-
Parts salespersons,Detailed,"8,540","8,540",37.1,36.2,21.1,24.4,6.2,6.8
Retail salespersons,Detailed,"208,120","208,120",34.9,28.2,32.7,20.8,17.0,7.6
Advertising sales agents,Detailed,"6,840","6,840",26.9,36.1,36.0,20.6,11.8,8.6
Insurance sales agents,Detailed,"28,190","28,190",37.1,36.3,17.7,21.4,16.8,7.5
"Securities, commodities, and financial services sales agents",Detailed,"7,320","7,320",26.0,46.2,19.6,19.8,10.3,7.5
Travel agents,Detailed,-,-,-,-,-,-,-,-
"Sales representatives, services, all other",Detailed,"30,375","30,375",31.3,34.2,27.8,21.7,12.3,6.2
"Sales representatives, wholesale and manufacturing",Detailed,"61,615","61,615",30.0,42.6,19.8,22.0,10.5,7.0
"Models, demonstrators, and product promoters",Detailed,"8,325","8,325",42.8,32.0,32.0,16.9,23.8,4.3
Real estate brokers and sales agents,Detailed,"51,840","51,840",38.5,37.9,17.5,21.9,12.3,6.6
Sales engineers,Detailed,-,-,-,-,-,-,-,-
Telemarketers,Detailed,-,-,-,-,-,-,-,-
"Door-to-door sales workers, news and street vendors, and related workers",Detailed,"12,275","12,275",48.5,23.9,33.9,14.9,23.6,10.7
"Sales and related workers, all other",Detailed,"21,840","21,840",40.6,34.6,30.1,24.4,23.3,11.1
First-line supervisors of office and administrative support workers,Detailed,"79,530","79,530",42.6,32.0,20.9,22.0,13.8,6.6
"Switchboard operators, including answering service",Detailed,-,-,-,-,-,-,-,-
Telephone operators,Detailed,-,-,-,-,-,-,-,-
"Communications equipment operators, all other",Detailed,-,-,-,-,-,-,-,-
Bill and account collectors,Detailed,"11,275","11,275",47.6,21.6,20.9,20.6,9.0,4.4
Billing and posting clerks,Detailed,"32,980","32,980",42.1,22.4,24.1,20.9,12.7,6.8
"Bookkeeping, accounting, and auditing clerks",Detailed,"85,035","85,035",47.6,28.7,18.2,19.5,17.1,7.2
